id,CZE,ENG,FIN,FRE,GER,ITA,POL,POR,RUS,SPA,SWE,SCR,NOR,DUT,LAV
C0376670,alkoholická pankreatitida,"Pancreatitis, Alcoholic",Alkoholipankreatiitti,Pancréatite alcoolique,"Pankreatitis, alkoholische",Pancreatite alcolica,Zapalenie trzustki alkoholowe,Pancreatite Alcoólica,ПАНКРЕАТИТ АЛКОГОЛЬНЫЙ,Pancreatitis Alcohólica,"Bukspottkörtelinflammation, alkoholbetingad",,Alkoholisk pankreatitt,"Pancreatitis, alcoholische",
C0035673,RNA-nukleotidyltransferasy,RNA Nucleotidyltransferases,RNA-nukleotidyylitransferaasit,RNA nucleotidyltransferases,RNA-Nucleotidyl-Transferasen,RNA nucleotidiltransferasi,Nukleotydylotransferazy RNA,RNA Nucleotidiltransferases,РНК-НУКЛЕОТИДИЛТРАНСФЕРАЗЫ,ARN Nucleotidiltransferasas,RNA-nukleotidyltransferaser,Not Translated[RNA Nucleotidyltransferases],Not Translated[RNA Nucleotidyltransferases],,
C1405990,oběti katastrofy,Disaster Victims,,Victimes de catastrophes,Katastrophenopfer,Vittime di calamità,Ofiary katastrof,Vítimas de Desastres,ЖЕРТВЫ КАТАСТРОФ,Víctimas de Desastres,Katastrofoffer,,Katastrofeofre,,
C0008083,dětská úmrtnost,Child Mortality,Lapsikuolleisuus,Mortalité de l'enfant,Kindersterblichkeit,Mortalità del bambino,Umieralność dzieci,Mortalidade da Criança,СМЕРТНОСТЬ ДЕТСКАЯ,Mortalidad del Niño,Barnadödlighet,,Barnedødelighet,Kindersterfte,
C4505167,monitoring preskripce kontrolovaných léčiv,Prescription Drug Monitoring Programs,,Programmes de surveillance des médicaments d'ordonnance,Monitoringprogramme für verschreibungspflichtige Medikamente,Programmi di monitoraggio dei farmaci soggetti a prescrizione,Programy monitorowania leków na receptę,Programas de Monitoramento de Prescrição de Medicamentos,"РЕЦЕПТУРНЫЕ ЛЕКАРСТВА, ПРОГРАММЫ КОНТРОЛЯ",Programas de Monitoreo de Medicamentos Recetados,Program för övervakning av läkemedelsförskrivning,,Programmer for legemiddelforskrivning,,
C0262469,embolická cévní mozková příhoda,Embolic Stroke,,Accident vasculaire cérébral embolique,Embolischer Schlaganfall,,Udar mózgu zatorowy,AVC Embólico,ЭМБОЛИЧЕСКИЙ ИНСУЛЬТ,Accidente Cerebrovascular Embólico,Embolisk stroke,,,,
C0376368,,,,,,,,,,,,,,Onderzoeksprioriteiten,
C0013201,,,,,,,,,,,,,,Geneesmiddelenvoorschriften,
C0002859,androstendioly,Androstenediols,Androsteenidiolit,Androstènediols,Androstendiole,Androstenedioli,Androstenediole,Androstenodióis,АНДРОСТЕНДИОЛЫ,Androstenodioles,Androstendioler,,Not Translated[Androstenediols],,
C0003324,diferenciační antigeny,"Antigens, Differentiation",Antigeenien erilaistuminen,Antigènes de différenciation,"Antigene, differenzierende",Antigeni di differenziamento,Antygeny różnicowania,Antígenos de Diferenciação,АНТИГЕНЫ ДИФФЕРЕНЦИРОВОЧНЫЕ,Antígenos de Diferenciación,Differentieringsantigener,"ANTIGENI, DIFERENCIJACIJA",Differensieringsantigener,,
C0015852,fermentace,Fermentation,Käyminen,Fermentation,Fermentierung,Fermentazione,Fermentacja,Fermentação,ФЕРМЕНТАЦИЯ,Fermentación,Jäsning,,Gjæring,Fermentatie,
C3178759,osteologie,Osteology,,Ostéologie,Osteologie,Osteologia,Osteologia,Osteologia,ОСТЕОЛОГИЯ,Osteología,Osteologi,,Osteologi,,
C0318313,Rickettsia akari,Rickettsia akari,Rickettsia akari,Rickettsia akari,Rickettsia akari,Rickettsia akari,Rickettsia akari,Rickettsia akari,RICKETTSIA AKARI,Rickettsia akari,Rickettsia akari,,Rickettsia akari,Rickettsia akari,
C1169989,kombinace léků buprenorfin a naloxon,"Buprenorphine, Naloxone Drug Combination",,Association de buprénorphine et de naloxone,"Buprenorphin, Naloxon Wirkstoffkombination",Assiciazione di buprenorfina e naloxone,Lek złożony buprenorfina i nalokson,Combinação Buprenorfina e Naloxona,"БУПРЕНОРФИН, НАЛОКСОН КОМБИНИРОВАННЫЙ ПРЕПАРАТ",Combinación Buprenorfina y Naloxona,Läkemedelskombination av buprenorfin och naloxon,,,,
C0008778,cilie,Cilia,Värekarvat,Cils vibratiles,Zilien,Ciglia vibratili,Rzęski,Cílios,РЕСНИЧКИ,Cilios,Flimmerhår,,Cilia,Cilia,
C0579142,předávkování opiáty,Opiate Overdose,,Surdose d'opiacés,Opiatüberdosierung,,Przedawkowanie opiatów,Overdose de Opiáceos,ПЕРЕДОЗИРОВКА ОПИАТАМИ,Sobredosis de Opiáceos,Opioidöverdos,,,,
C0011479,kyselina deoxycholová,Deoxycholic Acid,Deoksikoolihappo,Acide désoxycholique,Desoxycholsäure,Acido desossicolico,Kwas deoksycholowy,Ácido Desoxicólico,ДЕЗОКСИХОЛЕВАЯ КИСЛОТА,Ácido Desoxicólico,Deoxicholsyra,,,,
C1955964,artroplastika subchondrální,"Arthroplasty, Subchondral",Subkondraalinen artroplastia,Chondroplastie,"Arthroplastik, Subchondrale",Artroplastica subcondrale,Artroplastyka podchrząstkowa,Artroplastia Subcondral,АРТРОПЛАСТИКА СУБХОНДРАЛЬНАЯ,Artroplastia Subcondral,"Artroplastik, subkondral",,Subkondral artroplastikk,,
C0001138,Acinetobacter,Acinetobacter,Akinetobakteeri,Acinetobacter,Acinetobacter,Acinetobacter,Acinetobacter,Acinetobacter,АКИНЕТОБАКТЕРИИ,Acinetobacter,Acinetobacter,ACINETOBACTER,Acinetobacter,Acinetobacter,
C0004239,flutter síní,Atrial Flutter,Eteislepatus,Flutter auriculaire,Vorhofflattern,Flutter atriale,Trzepotanie przedsionków,Flutter Atrial,ПРЕДСЕРДИЙ ТРЕПЕТАНИЕ,Aleteo Atrial,Förmaksfladder,"ATRIJ, TREPERENJE",Atrieflutter,"Fladderen, boezem-",
C0033215,probukol,Probucol,Probukoli,Probucol,Probucol,Probucolo,Probukol,Probucol,ПРОБУКОЛ,Probucol,Probukol,,,,
C0016659,uzavřené fraktury,"Fractures, Closed",Suljetut murtumat,Fractures fermées,"Frakturen, geschlossene",Fratture chiuse,Złamania zamknięte,Fraturas Fechadas,ПЕРЕЛОМЫ ЗАКРЫТЫЕ,Fracturas Cerradas,Slutna frakturer,,Lukket brudd,"Fractuur, ongecompliceerde",
C4721411,osteolýza,Osteolysis,Osteolyysi,Ostéolyse,Osteolyse,Osteolisi,Osteoliza,Osteólise,ОСТЕОЛИЗ,Osteólisis,Upplösning av benvävnad,OSTEOLIZA,Osteolyse,Osteolysis,
C0034932,reflex abdominální,"Reflex, Abdominal",Vatsaheijaste,Réflexe cutané abdominal,"Reflex, Bauchdecken-",Riflesso addominale,Odruchy brzuszne,Reflexo Abdominal,РЕФЛЕКС БРЮШНОЙ,Reflejo Abdominal,Bukreflex,,Abdominalrefleks,"Reflex, buikhuid-",
C0524845,Thermoproteus,Thermoproteus,Thermoproteus,Thermoproteus,Thermoproteus,Thermoproteus,Thermoproteus,Thermoproteus,THERMOPROTEUS,Thermoproteus,Thermoproteus,,Thermoproteus,Thermoproteus,
C0538927,celekoxib,Celecoxib,,Célécoxib,Celecoxib,Celecoxib,Celekoksyb,Celecoxib,ЦЕЛЕКОКСИБ,Celecoxib,Celecoxib,,Celekoksib,,
C0004388,autonomní nervový systém,Autonomic Nervous System,Autonominen hermosto,Système nerveux autonome,Vegetatives Nervensystem,Sistema nervoso autonomo,Układ nerwowy autonomiczny,Sistema Nervoso Autônomo,НЕРВНАЯ СИСТЕМА ВЕГЕТАТИВНАЯ,Sistema Nervioso Autónomo,Autonoma nervsystemet,AUTONOMNI ŽIVČANI SUSTAV,Autonome nervsystem,"Zenuwstelsel, autonoom","Nervu sistēma, veģetatīvā"
C0039158,,,,,,,,,,,,,,Szondi-test,
C0228323,nuclei mediani thalami,Midline Thalamic Nuclei,Talamuksen keskitumakkeet,Noyaux médians du thalamus,Mittellinienkerne des Thalamus,Nucleo talamico della linea mediana,Jądro linii środkowej wzgórza,Núcleos da Linha Média do Tálamo,ТАЛАМУСА СРЕДИННОГО ЯДРА,Núcleos Talámicos de la Línea Media,Medellinjens talamuskärnor,,Mediale talamuskjerner,"Nuclei mediani, thalamus",
C0950076,,,,,,,,,,,,,,Eik,
C0025209,melanóza,Melanosis,Melanoosi,Mélanose,Melanose,Melanosi,Melanoza,Melanose,МЕЛАНОЗ,Melanosis,Melanos,MELANOZA,Melanose,Melanosis,
C0017760,UDP-glukosapyrofosforylasa,UTP-Glucose-1-Phosphate Uridylyltransferase,UTP-glukoosi-1-fosfaattiuridylyylitransferaasi,UTP glucose 1-phosphate uridylyltransferase,UTP-Glucose-1-Phosphat-Uridyltransferase,UTP-glucosio-1-fosfato uridililtransferasi,Urydylilotransferaza UTP-glukozo-1-fosforanowa,UTP-Glucose-1-Fosfato Uridililtransferase,УТФ-ГЛЮКОЗО-1-ФОСФАТ-УРИДИЛИЛТРАНСФЕРАЗА,UTP-Glucosa-1-Fosfato Uridililtransferasa,UTP-glukos-1-fosfaturidylyltransferas,,,,
C5235044,,,,,,,Wągrzyca układu nerwowego,,,,,,,,
C3831111,ChiP sekvenování,Chromatin Immunoprecipitation Sequencing,,Séquençage après immunoprécipitation de la chromatine,Chromatin-Immunpräzipations-Sequenzierung,,ChIP-Seq,Sequenciamento de Cromatina por Imunoprecipitação,ХРОМАТИНА ИММУНОПРЕЦИПИТАЦИИ СЕКВЕНИРОВАНИЕ,Secuenciación de Inmunoprecipitación de Cromatina,Kromatin immunprecipitationsekvensering,,,,
C0030605,parciální tromboplastinový čas,Partial Thromboplastin Time,APTT,Temps partiel de thromboplastine,Partielle Thromboplastinzeit,Tempo di tromboplastina parziale,Czas tromboplastyny częściowej,Tempo de Tromboplastina Parcial,ТРОМБОПЛАСТИНОВОЕ ВРЕМЯ ЧАСТИЧНОЕ,Tiempo de Tromboplastina Parcial,Partiell tromboplastintid,,Partiell tromboplastintid,"Tromboplastinetijd, geactiveerde partiële",
C0035031,relaxin,Relaxin,Relaksiini,Relaxine,Relaxin,Relaxina,Relaksyna,Relaxina,РЕЛАКСИН,Relaxina,Relaxin,,Relaksin,,
C0018232,Grenada,Grenada,Grenada,Grenade,Grenada,Grenada,Grenada,Granada,ГРЕНАДА,Grenada,Grenada,,Grenada,Grenada,
C3827958,sprejové sušení,Spray Drying,,Séchage par pulvérisation,Zerstäubungstrocknung,,Suszenie rozpyłowe,Secagem por Atomização,РАСПЫЛИТЕЛЬНАЯ СУШКА,Secado por Pulverización,Spraytorkning,,,,
C0013014,Dominikánská republika,Dominican Republic,Dominikaaninen tasavalta,République dominicaine,Dominikanische Republik,Repubblica Dominicana,Dominikana,República Dominicana,ДОМИНИКАНСКАЯ РЕСПУБЛИКА,República Dominicana,Dominikanska republiken,,Den dominikanske republikk,Dominicaanse Republiek,
C0025262,,,,,,,,,,,,,,Memory for designs test,
C1521889,ITAM motiv,Immunoreceptor Tyrosine-Based Activation Motif,,Motif d'activation de l'immunorécepteur dépendant de la tyrosine,Immunoreceptor tyrosine-based activation motif,Motivi di attivazione per l'immunorecettore tirosina (ITAM),Motyw ITAM,Motivo de Ativação do Imunorreceptor Baseado em Tirosina,ИММУНОРЕЦЕПТОРНЫЙ ТИРОЗИНОВЫЙ АКТИВИРУЮЩИЙ МОТИВ,Motivo de Activación del Inmunorreceptor Basado en Tirosina,Not Translated[Immunoreceptor Tyrosine-Based Activation Motif],,,,
C0018966,hem,Heme,Hemi,Hème,Häm,Eme,Hem,Heme,ГЕМ,Hemo,Hem,,,,
C2607914,alergická rýma,"Rhinitis, Allergic",,Rhinite allergique,"Rhinitis, allergische",Rinite allergica,Nieżyt nosa alergiczny,Rinite Alérgica,РИНИТ АЛЛЕРГИЧЕСКИЙ,Rinitis Alérgica,Allergisk rinit,"Not Translated[Rhinitis, Allergic]",Allergisk rhinitt,,
C0017926,glykogenóza typu VII,Glycogen Storage Disease Type VII,Glykogenoosi VII,Glycogénose de type VII,Glykogenspeicherkrankheit Typ VII,Malattia da accumulo di glicogeno di tipo VII,Glikogenoza typ VII,Doença de Depósito de Glicogênio Tipo VII,ГЛИКОГЕНОЗ VII ТИПА,Enfermedad del Almacenamiento de Glucógeno Tipo VII,Glykogeninlagringssjukdom typ VII,,Glykogenlagringssykdom type VII,"Ziekte type VII, glycogeenstapelings-",
C0012381,dimenhydrinát,Dimenhydrinate,Dimenhydrinaatti,Diménhydrinate,Dimenhydrinat,Dimenidrinato,Dimenhydrynat,Dimenidrinato,ДИМЕНГИДРИНАТ,Dimenhidrinato,Dimenhydrinat,,,,
C0917875,divertikulóza jícnu,"Diverticulosis, Esophageal",Ruokatorven umpipussitauti,Diverticulose oesophagienne,"Divertikulose, Ösophagus-",Diverticolosi dell'esofago,Uchyłkowatość przełyku,Diverticulose Esofágica,ПИЩЕВОДА ДИВЕРТИКУЛЕЗ,Diverticulosis Esofágica,Esofagusdivertikulos,,Øsofageal divertikulose,"Diverticulose, slokdarm",
C0012251,,,,,,,,,,,,,,"Signaalverwerking, digitale",
C0600659,rukopisy,Manuscript,Käsikirjoitukset,Manuscrit,Manuskripte [Dokumenttyp],Manoscritto,Manuskrypty-typ publikacji,Manuscrito,РУКОПИСЬ,Manuscrito,Manuskript [Publikationstyp],RUKOPISI,"Manuskripter, publikasjonstype",,
C0887909,nekódující RNA,"RNA, Untranslated",Kääntämätön RNA,ARN non traduit,"RNA, nicht-übersetzter Kode",RNA non tradotto,RNA nie ulegający translacji,RNA não Traduzido,РНК НЕТРАНСЛИРУЕМАЯ,ARN no Traducido,npcRNA,,,,
C1136108,mezibuněčné signální peptidy a proteiny,Intercellular Signaling Peptides and Proteins,Parakriiniset peptiditekijät,Protéines et peptides de signalisation intercellulaire,Interzelluläre Signalpeptide und -proteine,Proteine e peptidi segnale intercellulare,Peptydy i białka sygnalizacyjne międzykomórkowe,Peptídeos e Proteínas de Sinalização Intercelular,ПЕПТИДЫ И БЕЛКИ СИГНАЛЬНЫЕ МЕЖКЛЕТОЧНЫЕ,Péptidos y Proteínas de Señalización Intercelular,"Intercellulära, signalöverförande peptider och proteiner","MEĐUSTANIČNA SIGNALIZACIJA, PEPTIDI I PROTEINI",Not Translated[Intercellular Signaling Peptides and Proteins],,
C1140701,,,,,,,,,,,,,,Bos taurus,
C0996706,Aizoaceae,Aizoaceae,Aizoaceae,Aizoaceae,Aizoaceae,Aizoaceae,Pryszczyrnicowate,Aizoaceae,АИЗООНОВЫЕ,Aizoaceae,Aizoaceae,,Aizoaceae,Aizoaceae,
C0002072,alkylsulfonany,Alkanesulfonates,Alkaanisulfonaatit,Alcanesulfonates,Alkansulfonate,Alcansolfonati,Alkanosulfoniany,Alcanossulfonatos,АЛКАНСУЛЬФОНАТЫ,Alcanosulfonatos,Alkansulfonater,Not Translated[Alkanesulfonates],,,
C5828325,terapie důstojnosti,Dignity Therapy,,Thérapie de la dignité,,,Terapia godności,Terapia da Dignidade,ТЕРАПИЯ ДОСТОИНСТВА,Terapia de la Dignidad,,,,,
C0342185,familiární dysalbuminemická hypertyroxinemie,"Hyperthyroxinemia, Familial Dysalbuminemic",Suvuittainen dysalbumineeminen hypertyroksinemia,Hyperthyroxinémie dysalbuminémique familiale,"Hyperthyroxinämie, familiäre dysalbuminämische",Ipertiroxinemia disalbuminica familiare,Hipertyroksynemia rodzinna albuminowa,Hipertireoxinemia Disalbuminêmica Familiar,ГИПЕРТИРОКСИНЕМИЯ СЕМЕЙНАЯ ДИСАЛЬБУМИНЕМИЧЕСКАЯ,Hipertiroxinemia Disalbuminémica Familiar,"Hypertyroxinemi, familjär dysalbuminemisk",,Familiær dysalbuminemisk hypertyroksinemi,,
C0205714,,,,,,,,,,,,,,Infantiele ontwikkeling,
C3543440,antagonisté neurokininových receptorů typu 1,Neurokinin-1 Receptor Antagonists,,Antagonistes du récepteur de la neurokinine-1,Neurokinin-1-Rezeptor-Antagonisten,Antagonisti del recettore della neurochinina 1,Antagoniści receptora neurokininy 1,Antagonistas dos Receptores de Neurocinina-1,НЕЙРОКИНИНА-1 РЕЦЕПТОРОВ АНТАГОНИСТЫ,Antagonistas del Receptor de Neuroquinina-1,Neurokinin-1-receptorantagonister,,Nevrokinin-1-reseptorantagonist,,
C0035051,doučování,Remedial Teaching,Erityisopetus,Rattrapage scolaire,Förderunterricht,Istruzione differenziale,Nauczanie terapeutyczne,Ensino de Recuperação,ОБУЧЕНИЕ КОРРЕГИРУЮЩЕЕ,Educación Compensatoria,Stödundervisning,,Støtteundervisning,Remedial teaching,
C2945764,,,,,,,,,,,,,,Rituelen,
C0019602,histidin,Histidine,Histidiini,Histidine,Histidin,Istidina,Histydyna,Histidina,ГИСТИДИН,Histidina,Histidin,,,,
C4042814,plantární plocha,Plantar Plate,,Plaque plantaire,Plantare Platte,Placca plantare,Więzadło podeszwowe,Placa Plantar,ПОДОШВЕННАЯ ПЛАСТИНА,Placa Plantar,Plantarplatta,,Fotsålens ligamenter,,
C0033488,propolis,Propolis,Propolis,Propolis,Propolis,Propolis,Propolis,Própole,ПРОПОЛИС,Própolis,Propolis,,,,
